Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,2020,2021,2022
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,103740765,105618671,107465134,109262178,110990103
Euro area,EMU,"Population, total",SP.POP.TOTL,342065158,342452734,342913447,343067846,344519132
Eritrea,ERI,"Population, total",SP.POP.TOTL,3445374,3498818,3555868,3620312,3684032
Spain,ESP,"Population, total",SP.POP.TOTL,46797754,47134837,47365655,47415750,47615034
Estonia,EST,"Population, total",SP.POP.TOTL,1321977,1326898,1329522,1330932,1344768
Ethiopia,ETH,"Population, total",SP.POP.TOTL,111129438,114120594,117190911,120283026,123379924
European Union,EUU,"Population, total",SP.POP.TOTL,447001100,447367191,447692315,447179800,447956050
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,936721531,957785553,979763631,1001814433,1019139254
Finland,FIN,"Population, total",SP.POP.TOTL,5515525,5521606,5529543,5541017,5556880
Fiji,FJI,"Population, total",SP.POP.TOTL,918996,918465,920422,924610,929766
France,FRA,"Population, total",SP.POP.TOTL,67158348,67388001,67571107,67749632,67935660
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,50955,51681,52415,52889,53090
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,110929,111379,112106,113131,114164
Gabon,GAB,"Population, total",SP.POP.TOTL,2192012,2242785,2292573,2341179,2388992
United Kingdom,GBR,"Population, total",SP.POP.TOTL,66460344,66836327,67081234,67026300,66971411
Georgia,GEO,"Population, total",SP.POP.TOTL,3726549,3720161,3722716,3708610,3712502
Ghana,GHA,"Population, total",SP.POP.TOTL,30870641,31522290,32180401,32833031,33475870
Gibraltar,GIB,"Population, total",SP.POP.TOTL,32648,32685,32709,32669,32649
Guinea,GIN,"Population, total",SP.POP.TOTL,12554864,12877539,13205153,13531906,13859341
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2444916,2508883,2573995,2639916,2705992
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1924955,1970457,2015828,2060721,2105566
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1502091,1553031,1596049,1634466,1674908
Greece,GRC,"Population, total",SP.POP.TOTL,10732882,10721582,10698599,10641221,10566531
Grenada,GRD,"Population, total",SP.POP.TOTL,121838,122724,123663,124610,125438
Greenland,GRL,"Population, total",SP.POP.TOTL,56023,56225,56367,56653,56661
Guatemala,GTM,"Population, total",SP.POP.TOTL,16346950,16604026,16858333,17109746,17357886
Guam,GUM,"Population, total",SP.POP.TOTL,168678,168624,169231,170534,171774
Guyana,GUY,"Population, total",SP.POP.TOTL,785514,798753,797202,804567,808726
High income,HIC,"Population, total",SP.POP.TOTL,1231512170,1236715327,1241726323,1241269526,1244899026
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7452600,7507900,7481000,7413100,7346100
Honduras,HND,"Population, total",SP.POP.TOTL,9792850,9958829,10121763,10278345,10432860
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,792615894,815100831,838066650,861156745,884288332
Croatia,HRV,"Population, total",SP.POP.TOTL,4087843,4065253,4047680,3879000,3854000
Haiti,HTI,"Population, total",SP.POP.TOTL,11012421,11160438,11306801,11447569,11584996
Hungary,HUN,"Population, total",SP.POP.TOTL,9775564,9771141,9750149,9709891,9683505
IBRD only,IBD,"Population, total",SP.POP.TOTL,4795958028,4833831131,4867842440,4895306842,4914355242
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,6479097568,6554880543,6628068247,6695340280,6754326592
IDA total,IDA,"Population, total",SP.POP.TOTL,1683139540,1721049412,1760225807,1800033438,1839971350
IDA blend,IDB,"Population, total",SP.POP.TOTL,559155599,570633332,582637127,595016031,607735968
Indonesia,IDN,"Population, total",SP.POP.TOTL,267066843,269582878,271857970,273753191,275501339
IDA only,IDX,"Population, total",SP.POP.TOTL,1123983941,1150416080,1177588680,1205017407,1232235382
Isle of Man,IMN,"Population, total",SP.POP.TOTL,83775,83933,84046,84263,84519
India,IND,"Population, total",SP.POP.TOTL,1369003306,1383112050,1396387127,1407563842,1417173173
Not classified,INX,"Population, total",SP.POP.TOTL,,,,,
Ireland,IRL,"Population, total",SP.POP.TOTL,4867316,4934340,4985382,5033165,5086988
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,85617562,86564202,87290193,87923432,88550570
Iraq,IRQ,"Population, total",SP.POP.TOTL,40590700,41563520,42556984,43533592,44496122
Iceland,ISL,"Population, total",SP.POP.TOTL,352721,360563,366463,372520,381900
Israel,ISR,"Population, total",SP.POP.TOTL,8882800,9054000,9215100,9364700,9550600
Italy,ITA,"Population, total",SP.POP.TOTL,60421760,59729081,59438851,59109668,58856847
Jamaica,JAM,"Population, total",SP.POP.TOTL,2811835,2813773,2820436,2827695,2827377
Jordan,JOR,"Population, total",SP.POP.TOTL,10459865,10698683,10928721,11148278,11285869
Japan,JPN,"Population, total",SP.POP.TOTL,126811000,126633000,126261000,125681593,125124989
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,18276452,18513673,18755666,19000988,19621972
Kenya,KEN,"Population, total",SP.POP.TOTL,49953304,50951450,51985780,53005614,54027487
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6322800,6456200,6579900,6691800,6803300
Cambodia,KHM,"Population, total",SP.POP.TOTL,16025238,16207746,16396860,16589023,16767842
Kiribati,KIR,"Population, total",SP.POP.TOTL,122261,124241,126463,128874,131232
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,47761,47712,47642,47606,47657
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51585058,51764822,51836239,51744876,51628117
Kuwait,KWT,"Population, total",SP.POP.TOTL,4317185,4441100,4360444,4250114,4268873
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,576620516,582701622,588011178,592503434,596596955
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7105006,7212053,7319399,7425057,7529475
Lebanon,LBN,"Population, total",SP.POP.TOTL,5950839,5781907,5662923,5592631,5489739
Liberia,LBR,"Population, total",SP.POP.TOTL,4889391,4985289,5087584,5193416,5302681
Libya,LBY,"Population, total",SP.POP.TOTL,6477793,6569088,6653942,6735277,6812341
St. Lucia,LCA,"Population, total",SP.POP.TOTL,177888,178583,179237,179651,179857
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,639628226,645295804,650534986,654980808,659311105
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,1023493788,1048193552,1073743450,1099568566,1125179454
Low income,LIC,"Population, total",SP.POP.TOTL,630865826,648755452,667053670,685250041,703727949
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,38181,38482,38756,39039,39327
