Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,2020,2021,2022
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3860.454811,3928.309096,3223.735602,3557.837775,3902.589049
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,12383.14995,12669.34116,12179.25667,12537.25675,13198.82172
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,10339.10078,10409.71638,8864.60437,10114.14684,12382.37538
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,8831.907222,9139.415856,9499.590202,,
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,18956.09797,19024.17715,16109.86175,17717.59648,
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,85231.77515,89846.3211,83897.50521,88475.60088,
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,29419.88672,29417.92188,28035.98438,31552.03516,31283.50586
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,23424.48046,23664.84786,22992.87938,26822.51419,27638.37328
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,47939.27829,46793.68676,46772.82535,51203.55447,48432.45587
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,2755.838293,2876.043664,2917.996281,3050.306282,3136.11296
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,7833.195013,8561.587011,7003.469891,7668.158132,8414.536593
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,61591.92887,59592.98069,60915.4244,68007.75667,66983.132
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,7947.159354,8173.344646,7167.914932,8476.749688,10120.55116
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4171.795309,4021.983608,3354.157303,3700.311195,4273.922183
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),NY.GDP.PCAP.CD,7944.471368,8169.008923,8262.89755,9812.145975,9952.188121
Early-demographic dividend,EAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3480.280784,3506.634175,3232.24714,3714.713915,4069.176012
East Asia & Pacific,EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,11311.76908,11480.70382,11482.8805,13119.40565,12906.69401
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),NY.GDP.PCAP.CD,7995.718829,8128.395055,7462.097631,8919.908636,10376.78025
Europe & Central Asia,ECS,GDP per capita (current US$),NY.GDP.PCAP.CD,25244.03379,24870.57647,23995.15,27239.94011,27363.87464
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,6321.349401,6233.258167,5645.19929,5965.132871,6391.282484
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,2531.200079,3017.258336,3571.556907,3886.722498,4295.407496
Euro area,EMU,GDP per capita (current US$),NY.GDP.PCAP.CD,40045.56619,39183.10234,38161.66594,42472.33269,40755.04738
