,lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,lon4,lat4,dep4
63,338.064,63.934,0.0,338.609,63.998,0.0,338.064,63.934,15.0,338.609,63.998,15.0
64,337.509,63.848,0.0,338.064,63.934,0.0,337.509,63.848,15.0,338.064,63.934,15.0
65,337.128,63.767,0.0,337.509,63.848,0.0,337.128,63.767,15.0,337.509,63.848,15.0
66,336.941,63.65,0.0,337.128,63.767,0.0,336.941,63.65,15.0,337.128,63.767,15.0
67,336.67,63.651,0.0,336.941,63.65,0.0,336.67,63.651,15.0,336.941,63.65,15.0
68,336.513,63.568,0.0,336.67,63.651,0.0,336.513,63.568,15.0,336.67,63.651,15.0
69,336.259,63.474,0.0,336.513,63.568,0.0,336.259,63.474,15.0,336.513,63.568,15.0
70,335.991,63.355,0.0,336.259,63.474,0.0,335.991,63.355,15.0,336.259,63.474,15.0
71,335.745,63.23,0.0,335.991,63.355,0.0,335.745,63.23,15.0,335.991,63.355,15.0
72,335.481,63.11,0.0,335.745,63.23,0.0,335.481,63.11,15.0,335.745,63.23,15.0
73,335.279,62.992,0.0,335.481,63.11,0.0,335.279,62.992,15.0,335.481,63.11,15.0
74,335.112,62.924,0.0,335.279,62.992,0.0,335.112,62.924,15.0,335.279,62.992,15.0
75,334.965,62.8,0.0,335.112,62.924,0.0,334.965,62.8,15.0,335.112,62.924,15.0
76,334.844,62.71,0.0,334.965,62.8,0.0,334.844,62.71,15.0,334.965,62.8,15.0
77,334.689,62.614,0.0,334.844,62.71,0.0,334.689,62.614,15.0,334.844,62.71,15.0
78,334.551,62.62,0.0,334.689,62.614,0.0,334.551,62.62,15.0,334.689,62.614,15.0
79,334.357,62.503,0.0,334.551,62.62,0.0,334.357,62.503,15.0,334.551,62.62,15.0
80,334.125,62.375,0.0,334.357,62.503,0.0,334.125,62.375,15.0,334.357,62.503,15.0
81,333.893,62.237,0.0,334.125,62.375,0.0,333.893,62.237,15.0,334.125,62.375,15.0
82,333.691,62.105,0.0,333.893,62.237,0.0,333.691,62.105,15.0,333.893,62.237,15.0
83,333.474,61.939,0.0,333.691,62.105,0.0,333.474,61.939,15.0,333.691,62.105,15.0
84,333.232,61.825,0.0,333.474,61.939,0.0,333.232,61.825,15.0,333.474,61.939,15.0
85,332.968,61.665,0.0,333.232,61.825,0.0,332.968,61.665,15.0,333.232,61.825,15.0
86,332.774,61.532,0.0,332.968,61.665,0.0,332.774,61.532,15.0,332.968,61.665,15.0
